customer_id,recency,frequency,monetary,cluster,segment,customer_name,diet_profile,city
59,45,16,7897.59,1,New / Occasional,Santhosh Natarajan 159,Flexitarian,Chennai
60,31,6,2832.97,1,New / Occasional,Swetha Mudaliar 160,Flexitarian,Chennai
61,26,7,3254.5,1,New / Occasional,Aravind Kumar 161,Flexitarian,Chennai
62,21,5,3077.85,1,New / Occasional,Priya Swaminathan 162,Flexitarian,Chennai
63,198,3,1497.5,0,At Risk / Churning,Karthik Babu 163,Flexitarian,Chennai
64,279,1,130.0,0,At Risk / Churning,Deepa Natarajan 164,Pure Veg,Chennai
65,28,6,2935.7,1,New / Occasional,Siddharth Mudaliar 165,Flexitarian,Chennai
66,167,6,4753.2,0,At Risk / Churning,Bhavana Kumar 166,Flexitarian,Chennai
67,262,2,608.0,0,At Risk / Churning,Ramesh Swaminathan 167,Flexitarian,Chennai
68,221,2,438.0,0,At Risk / Churning,Lakshmi Babu 168,Pure Veg,Chennai
69,72,5,2897.05,1,New / Occasional,Vijay Natarajan 169,Pure Veg,Chennai
70,171,3,2378.48,0,At Risk / Churning,Ananya Mudaliar 170,Flexitarian,Chennai
71,47,14,6531.3,1,New / Occasional,Suresh Kumar 171,Flexitarian,Chennai
72,131,3,2741.65,1,New / Occasional,Divya Swaminathan 172,Pure Veg,Chennai
73,32,6,1947.4,1,New / Occasional,Ganesh Babu 173,Flexitarian,Chennai
74,98,6,2838.5,1,New / Occasional,Meena Natarajan 174,Pure Veg,Chennai
75,71,2,785.8,1,New / Occasional,Rajesh Mudaliar 175,Pure Veg,Chennai
76,219,2,2014.0,0,At Risk / Churning,Kavitha Kumar 176,Pure Veg,Chennai
77,298,1,823.5,0,At Risk / Churning,Venkatesh Swaminathan 177,Non-Veg Enthusiast,Chennai
78,78,2,932.0,1,New / Occasional,Nandhini Babu 178,Flexitarian,Chennai
79,139,1,191.5,0,At Risk / Churning,Santhosh Natarajan 179,Pure Veg,Chennai
80,8,6,1580.35,1,New / Occasional,Swetha Mudaliar 180,Flexitarian,Chennai
81,3,5,1975.15,1,New / Occasional,Aravind Kumar 181,Flexitarian,Chennai
82,50,5,1470.6,1,New / Occasional,Priya Swaminathan 182,Flexitarian,Chennai
83,23,13,5924.57,1,New / Occasional,Karthik Babu 183,Flexitarian,Chennai
84,55,6,3723.3,1,New / Occasional,Deepa Natarajan 184,Flexitarian,Chennai
85,236,2,513.3,0,At Risk / Churning,Siddharth Mudaliar 185,Pure Veg,Chennai
86,6,7,2909.85,1,New / Occasional,Bhavana Kumar 186,Flexitarian,Chennai
87,182,1,450.0,0,At Risk / Churning,Ramesh Swaminathan 187,Pure Veg,Chennai
88,102,4,1574.8,1,New / Occasional,Lakshmi Babu 188,Flexitarian,Chennai
89,129,2,1834.83,1,New / Occasional,Vijay Natarajan 189,Flexitarian,Chennai
90,3,11,4672.68,1,New / Occasional,Ananya Mudaliar 190,Flexitarian,Chennai
91,26,11,7141.2,1,New / Occasional,Suresh Kumar 191,Flexitarian,Chennai
92,299,1,290.0,0,At Risk / Churning,Divya Swaminathan 192,Pure Veg,Chennai
93,45,11,7116.8,1,New / Occasional,Ganesh Babu 193,Flexitarian,Chennai
94,62,5,2625.07,1,New / Occasional,Meena Natarajan 194,Flexitarian,Chennai
95,198,2,775.0,0,At Risk / Churning,Rajesh Mudaliar 195,Flexitarian,Chennai
96,100,9,3641.9,1,New / Occasional,Kavitha Kumar 196,Flexitarian,Chennai
97,34,5,4181.77,1,New / Occasional,Venkatesh Swaminathan 197,Flexitarian,Chennai
98,39,11,4644.87,1,New / Occasional,Nandhini Babu 198,Flexitarian,Chennai
99,31,8,3742.1,1,New / Occasional,Santhosh Natarajan 199,Flexitarian,Chennai
100,87,1,314.0,1,New / Occasional,Swetha Mudaliar 200,Pure Veg,Chennai
101,301,3,921.0,0,At Risk / Churning,Aravind Kumar 201,Flexitarian,Chennai
102,85,2,627.5,1,New / Occasional,Priya Swaminathan 202,Flexitarian,Chennai
103,327,1,114.0,0,At Risk / Churning,Karthik Babu 203,Pure Veg,Chennai
104,29,9,3436.24,1,New / Occasional,Deepa Natarajan 204,Flexitarian,Chennai
105,2,14,5464.93,1,New / Occasional,Siddharth Mudaliar 205,Flexitarian,Chennai
106,253,1,366.0,0,At Risk / Churning,Bhavana Kumar 206,Flexitarian,Chennai
107,20,4,1227.4,1,New / Occasional,Ramesh Swaminathan 207,Flexitarian,Chennai
108,17,2,999.9,1,New / Occasional,Lakshmi Babu 208,Flexitarian,Chennai
109,113,2,1741.8,1,New / Occasional,Vijay Natarajan 209,Pure Veg,Chennai
110,237,1,357.0,0,At Risk / Churning,Ananya Mudaliar 210,Pure Veg,Chennai
111,193,1,225.0,0,At Risk / Churning,Suresh Kumar 211,Non-Veg Enthusiast,Chennai
112,38,15,7421.6,1,New / Occasional,Divya Swaminathan 212,Flexitarian,Chennai
113,140,1,1411.0,0,At Risk / Churning,Ganesh Babu 213,Pure Veg,Chennai
114,195,4,1124.7,0,At Risk / Churning,Meena Natarajan 214,Flexitarian,Chennai
115,42,4,1618.0,1,New / Occasional,Rajesh Mudaliar 215,Flexitarian,Chennai
116,128,2,671.0,1,New / Occasional,Kavitha Kumar 216,Pure Veg,Chennai
117,12,25,12722.61,1,New / Occasional,Venkatesh Swaminathan 217,Flexitarian,Chennai
118,74,21,8547.3,1,New / Occasional,Nandhini Babu 218,Flexitarian,Chennai
119,31,4,1794.5,1,New / Occasional,Santhosh Natarajan 219,Flexitarian,Chennai
120,131,3,1259.3,1,New / Occasional,Swetha Mudaliar 220,Flexitarian,Chennai
121,269,1,206.48,0,At Risk / Churning,Aravind Kumar 221,Pure Veg,Chennai
122,13,2,966.6,1,New / Occasional,Priya Swaminathan 222,Flexitarian,Chennai
123,156,4,1790.05,0,At Risk / Churning,Karthik Babu 223,Flexitarian,Chennai
124,125,2,951.85,1,New / Occasional,Deepa Natarajan 224,Pure Veg,Chennai
125,246,1,411.3,0,At Risk / Churning,Siddharth Mudaliar 225,Pure Veg,Chennai
126,110,10,4097.38,1,New / Occasional,Bhavana Kumar 226,Flexitarian,Chennai
127,143,1,174.5,0,At Risk / Churning,Ramesh Swaminathan 227,Flexitarian,Chennai
128,21,4,1891.1,1,New / Occasional,Lakshmi Babu 228,Flexitarian,Chennai
129,5,39,17310.07,3,Steady Regulars,Vijay Natarajan 229,Flexitarian,Chennai
130,91,7,3390.82,1,New / Occasional,Ananya Mudaliar 230,Flexitarian,Chennai
131,36,14,6340.4,1,New / Occasional,Suresh Kumar 231,Flexitarian,Chennai
132,144,1,191.5,0,At Risk / Churning,Divya Swaminathan 232,Flexitarian,Chennai
133,10,5,3999.6,1,New / Occasional,Ganesh Babu 233,Pure Veg,Chennai
134,252,1,380.0,0,At Risk / Churning,Meena Natarajan 234,Flexitarian,Chennai
135,9,4,1643.4,1,New / Occasional,Rajesh Mudaliar 235,Pure Veg,Chennai
136,99,4,1757.97,1,New / Occasional,Kavitha Kumar 236,Flexitarian,Chennai
137,4,6,5073.62,1,New / Occasional,Venkatesh Swaminathan 237,Flexitarian,Chennai
138,104,1,149.0,1,New / Occasional,Nandhini Babu 238,Pure Veg,Chennai
139,47,7,2687.26,1,New / Occasional,Santhosh Natarajan 239,Flexitarian,Chennai
140,199,1,223.0,0,At Risk / Churning,Swetha Mudaliar 240,Pure Veg,Chennai
141,268,1,1285.2,0,At Risk / Churning,Aravind Kumar 241,Pure Veg,Chennai
142,32,3,1091.0,1,New / Occasional,Priya Swaminathan 242,Flexitarian,Chennai
143,251,1,432.0,0,At Risk / Churning,Karthik Babu 243,Flexitarian,Chennai
144,163,2,990.9,0,At Risk / Churning,Deepa Natarajan 244,Flexitarian,Chennai
145,78,5,2534.8,1,New / Occasional,Siddharth Mudaliar 245,Flexitarian,Chennai
146,33,13,6467.16,1,New / Occasional,Bhavana Kumar 246,Flexitarian,Chennai
147,4,2,501.4,1,New / Occasional,Ramesh Swaminathan 247,Pure Veg,Chennai
148,30,2,1954.8,1,New / Occasional,Lakshmi Babu 248,Flexitarian,Chennai
149,3,17,9466.98,1,New / Occasional,Vijay Natarajan 249,Flexitarian,Chennai
150,5,10,3982.75,1,New / Occasional,Ananya Mudaliar 250,Flexitarian,Chennai
151,256,2,1533.35,0,At Risk / Churning,Suresh Kumar 251,Flexitarian,Chennai
152,130,6,3275.2,1,New / Occasional,Divya Swaminathan 252,Flexitarian,Chennai
153,175,2,214.0,0,At Risk / Churning,Ganesh Babu 253,Pure Veg,Chennai
154,9,2,1062.0,1,New / Occasional,Meena Natarajan 254,Pure Veg,Chennai
155,17,9,4202.6,1,New / Occasional,Rajesh Mudaliar 255,Flexitarian,Chennai
156,67,1,1241.1,1,New / Occasional,Kavitha Kumar 256,Flexitarian,Chennai
157,145,1,552.5,0,At Risk / Churning,Venkatesh Swaminathan 257,Non-Veg Enthusiast,Chennai
158,8,24,10549.9,1,New / Occasional,Nandhini Babu 258,Flexitarian,Chennai
159,9,20,9533.6,1,New / Occasional,Santhosh Natarajan 259,Flexitarian,Chennai
160,38,7,2987.9,1,New / Occasional,Swetha Mudaliar 260,Flexitarian,Chennai
161,128,1,367.0,0,At Risk / Churning,Aravind Kumar 261,Pure Veg,Chennai
162,215,2,739.3,0,At Risk / Churning,Priya Swaminathan 262,Flexitarian,Chennai
163,96,8,3771.65,1,New / Occasional,Karthik Babu 263,Flexitarian,Chennai
164,11,17,8798.3,1,New / Occasional,Deepa Natarajan 264,Flexitarian,Chennai
165,58,6,3956.68,1,New / Occasional,Siddharth Mudaliar 265,Flexitarian,Chennai
166,181,5,2639.34,0,At Risk / Churning,Bhavana Kumar 266,Flexitarian,Chennai
167,67,6,3294.6,1,New / Occasional,Ramesh Swaminathan 267,Flexitarian,Chennai
168,23,13,6675.4,1,New / Occasional,Lakshmi Babu 268,Flexitarian,Chennai
169,35,3,1503.0,1,New / Occasional,Vijay Natarajan 269,Flexitarian,Chennai
170,116,1,546.3,1,New / Occasional,Ananya Mudaliar 270,Flexitarian,Chennai
171,201,3,1190.3,0,At Risk / Churning,Suresh Kumar 271,Flexitarian,Chennai
172,43,5,2737.05,1,New / Occasional,Divya Swaminathan 272,Flexitarian,Chennai
173,49,1,350.0,1,New / Occasional,Ganesh Babu 273,Pure Veg,Chennai
174,6,4,1489.2,1,New / Occasional,Meena Natarajan 274,Flexitarian,Chennai
175,278,1,418.5,0,At Risk / Churning,Rajesh Mudaliar 275,Pure Veg,Chennai
176,20,7,2428.3,1,New / Occasional,Kavitha Kumar 276,Flexitarian,Chennai
177,27,6,3277.81,1,New / Occasional,Venkatesh Swaminathan 277,Flexitarian,Chennai
178,146,1,776.05,0,At Risk / Churning,Nandhini Babu 278,Flexitarian,Chennai
179,29,8,4128.11,1,New / Occasional,Santhosh Natarajan 279,Flexitarian,Chennai
180,59,2,1217.0,1,New / Occasional,Swetha Mudaliar 280,Flexitarian,Chennai
181,254,1,907.62,0,At Risk / Churning,Aravind Kumar 281,Flexitarian,Chennai
182,83,7,5341.6,1,New / Occasional,Priya Swaminathan 282,Flexitarian,Chennai
183,111,5,3818.7,1,New / Occasional,Karthik Babu 283,Flexitarian,Chennai
184,113,8,4015.8,1,New / Occasional,Deepa Natarajan 284,Flexitarian,Chennai
185,47,5,2254.15,1,New / Occasional,Siddharth Mudaliar 285,Flexitarian,Chennai
186,158,3,760.4,0,At Risk / Churning,Bhavana Kumar 286,Flexitarian,Chennai
187,9,8,4240.6,1,New / Occasional,Ramesh Swaminathan 287,Flexitarian,Chennai
188,173,3,1458.77,0,At Risk / Churning,Lakshmi Babu 288,Flexitarian,Chennai
189,97,2,485.75,1,New / Occasional,Vijay Natarajan 289,Pure Veg,Chennai
190,10,35,16818.05,3,Steady Regulars,Ananya Mudaliar 290,Flexitarian,Chennai
191,7,4,1018.75,1,New / Occasional,Suresh Kumar 291,Flexitarian,Chennai
192,29,16,8380.67,1,New / Occasional,Divya Swaminathan 292,Flexitarian,Chennai
193,76,2,520.0,1,New / Occasional,Ganesh Babu 293,Pure Veg,Chennai
194,56,4,2727.35,1,New / Occasional,Meena Natarajan 294,Flexitarian,Chennai
195,55,2,807.6,1,New / Occasional,Rajesh Mudaliar 295,Pure Veg,Chennai
196,320,2,1332.9,0,At Risk / Churning,Kavitha Kumar 296,Flexitarian,Chennai
197,56,5,2299.2,1,New / Occasional,Venkatesh Swaminathan 297,Flexitarian,Chennai
198,214,1,531.0,0,At Risk / Churning,Nandhini Babu 298,Flexitarian,Chennai
199,13,4,1990.65,1,New / Occasional,Santhosh Natarajan 299,Flexitarian,Chennai
200,130,2,838.5,0,At Risk / Churning,Swetha Mudaliar 300,Flexitarian,Chennai
201,215,1,756.0,0,At Risk / Churning,Aravind Kumar 301,Pure Veg,Chennai
202,61,4,1465.1,1,New / Occasional,Priya Swaminathan 302,Flexitarian,Chennai
203,101,2,835.15,1,New / Occasional,Karthik Babu 303,Flexitarian,Chennai
204,20,24,14779.78,3,Steady Regulars,Deepa Natarajan 304,Flexitarian,Chennai
205,16,21,10463.66,1,New / Occasional,Siddharth Mudaliar 305,Flexitarian,Chennai
206,58,15,6633.6,1,New / Occasional,Bhavana Kumar 306,Flexitarian,Chennai
207,284,1,2034.0,0,At Risk / Churning,Ramesh Swaminathan 307,Pure Veg,Chennai
208,54,12,4649.64,1,New / Occasional,Lakshmi Babu 308,Flexitarian,Chennai
209,85,3,941.5,1,New / Occasional,Vijay Natarajan 309,Flexitarian,Chennai
210,4,42,20211.57,3,Steady Regulars,Ananya Mudaliar 310,Flexitarian,Chennai
211,3,29,14029.42,3,Steady Regulars,Suresh Kumar 311,Flexitarian,Chennai
212,13,9,5336.6,1,New / Occasional,Divya Swaminathan 312,Flexitarian,Chennai
213,200,2,1501.0,0,At Risk / Churning,Ganesh Babu 313,Pure Veg,Chennai
214,246,2,1102.5,0,At Risk / Churning,Meena Natarajan 314,Pure Veg,Chennai
215,25,9,3749.37,1,New / Occasional,Rajesh Mudaliar 315,Flexitarian,Chennai
216,24,3,863.0,1,New / Occasional,Kavitha Kumar 316,Pure Veg,Chennai
217,162,2,766.0,0,At Risk / Churning,Venkatesh Swaminathan 317,Flexitarian,Chennai
218,148,2,530.65,0,At Risk / Churning,Nandhini Babu 318,Pure Veg,Chennai
219,2,19,8245.63,1,New / Occasional,Santhosh Natarajan 319,Flexitarian,Chennai
220,20,5,3397.17,1,New / Occasional,Swetha Mudaliar 320,Flexitarian,Chennai
221,33,4,2660.15,1,New / Occasional,Aravind Kumar 321,Flexitarian,Chennai
222,19,5,1938.0,1,New / Occasional,Priya Swaminathan 322,Flexitarian,Chennai
223,10,60,30261.94,3,Steady Regulars,Karthik Babu 323,Flexitarian,Chennai
224,11,7,2650.4,1,New / Occasional,Deepa Natarajan 324,Flexitarian,Chennai
225,19,11,4988.88,1,New / Occasional,Siddharth Mudaliar 325,Flexitarian,Chennai
226,36,7,3440.7,1,New / Occasional,Bhavana Kumar 326,Flexitarian,Chennai
227,22,5,2050.0,1,New / Occasional,Ramesh Swaminathan 327,Flexitarian,Chennai
228,13,4,2441.05,1,New / Occasional,Lakshmi Babu 328,Flexitarian,Chennai
229,16,2,1354.5,1,New / Occasional,Vijay Natarajan 329,Flexitarian,Chennai
230,34,3,870.25,1,New / Occasional,Ananya Mudaliar 330,Flexitarian,Chennai
231,17,7,4152.84,1,New / Occasional,Suresh Kumar 331,Flexitarian,Chennai
232,30,14,5867.27,1,New / Occasional,Divya Swaminathan 332,Flexitarian,Chennai
233,36,12,5714.38,1,New / Occasional,Ganesh Babu 333,Flexitarian,Chennai
234,6,11,5610.37,1,New / Occasional,Meena Natarajan 334,Flexitarian,Chennai
235,24,6,2248.6,1,New / Occasional,Rajesh Mudaliar 335,Flexitarian,Chennai
236,149,2,1475.79,0,At Risk / Churning,Kavitha Kumar 336,Pure Veg,Chennai
237,56,10,4842.06,1,New / Occasional,Venkatesh Swaminathan 337,Flexitarian,Chennai
238,33,6,3687.2,1,New / Occasional,Nandhini Babu 338,Pure Veg,Chennai
239,47,6,2195.35,1,New / Occasional,Santhosh Natarajan 339,Flexitarian,Chennai
240,41,8,4081.39,1,New / Occasional,Swetha Mudaliar 340,Flexitarian,Chennai
241,3,14,5471.15,1,New / Occasional,Aravind Kumar 341,Flexitarian,Chennai
242,60,2,325.0,1,New / Occasional,Priya Swaminathan 342,Flexitarian,Chennai
243,7,3,1191.0,1,New / Occasional,Karthik Babu 343,Pure Veg,Chennai
244,171,1,1000.8,0,At Risk / Churning,Deepa Natarajan 344,Non-Veg Enthusiast,Chennai
245,12,3,1066.0,1,New / Occasional,Siddharth Mudaliar 345,Pure Veg,Chennai
246,153,4,1285.5,0,At Risk / Churning,Bhavana Kumar 346,Flexitarian,Chennai
247,8,6,2890.2,1,New / Occasional,Ramesh Swaminathan 347,Flexitarian,Chennai
248,143,1,331.5,0,At Risk / Churning,Lakshmi Babu 348,Flexitarian,Chennai
249,31,9,2967.3,1,New / Occasional,Vijay Natarajan 349,Flexitarian,Chennai
250,16,3,1044.9,1,New / Occasional,Ananya Mudaliar 350,Flexitarian,Chennai
251,228,2,1986.65,0,At Risk / Churning,Suresh Kumar 351,Flexitarian,Chennai
252,17,2,743.2,1,New / Occasional,Divya Swaminathan 352,Pure Veg,Chennai
253,125,4,1935.96,1,New / Occasional,Ganesh Babu 353,Pure Veg,Chennai
254,28,2,750.5,1,New / Occasional,Meena Natarajan 354,Pure Veg,Chennai
255,54,7,3417.87,1,New / Occasional,Rajesh Mudaliar 355,Flexitarian,Chennai
256,124,2,395.0,1,New / Occasional,Kavitha Kumar 356,Pure Veg,Chennai
257,52,7,4342.42,1,New / Occasional,Venkatesh Swaminathan 357,Flexitarian,Chennai
258,16,4,1320.0,1,New / Occasional,Nandhini Babu 358,Flexitarian,Chennai
259,3,50,22381.39,3,Steady Regulars,Santhosh Natarajan 359,Flexitarian,Chennai
260,41,5,2087.69,1,New / Occasional,Swetha Mudaliar 360,Flexitarian,Chennai
261,16,3,1217.5,1,New / Occasional,Aravind Kumar 361,Flexitarian,Chennai
262,138,9,2929.23,1,New / Occasional,Priya Swaminathan 362,Flexitarian,Chennai
263,254,1,351.0,0,At Risk / Churning,Karthik Babu 363,Pure Veg,Chennai
264,147,3,1187.5,0,At Risk / Churning,Deepa Natarajan 364,Pure Veg,Chennai
265,192,1,1193.64,0,At Risk / Churning,Siddharth Mudaliar 365,Flexitarian,Chennai
266,22,4,1936.95,1,New / Occasional,Bhavana Kumar 366,Flexitarian,Chennai
267,2,31,14434.01,3,Steady Regulars,Ramesh Swaminathan 367,Flexitarian,Chennai
268,7,11,5881.53,1,New / Occasional,Lakshmi Babu 368,Flexitarian,Chennai
269,62,2,590.0,1,New / Occasional,Vijay Natarajan 369,Flexitarian,Chennai
270,123,1,512.1,1,New / Occasional,Ananya Mudaliar 370,Pure Veg,Chennai
271,6,2,645.0,1,New / Occasional,Suresh Kumar 371,Flexitarian,Chennai
272,228,1,516.6,0,At Risk / Churning,Divya Swaminathan 372,Flexitarian,Chennai
273,364,1,139.0,0,At Risk / Churning,Ganesh Babu 373,Pure Veg,Chennai
274,180,2,408.0,0,At Risk / Churning,Meena Natarajan 374,Flexitarian,Chennai
275,277,1,75.9,0,At Risk / Churning,Rajesh Mudaliar 375,Pure Veg,Chennai
276,185,3,737.97,0,At Risk / Churning,Kavitha Kumar 376,Flexitarian,Chennai
277,174,1,145.0,0,At Risk / Churning,Venkatesh Swaminathan 377,Pure Veg,Chennai
278,3,29,13700.34,3,Steady Regulars,Nandhini Babu 378,Flexitarian,Chennai
279,107,8,3146.9,1,New / Occasional,Santhosh Natarajan 379,Flexitarian,Chennai
280,189,2,711.0,0,At Risk / Churning,Swetha Mudaliar 380,Pure Veg,Chennai
281,34,3,1111.0,1,New / Occasional,Aravind Kumar 381,Flexitarian,Chennai
282,7,2,2331.0,1,New / Occasional,Priya Swaminathan 382,Flexitarian,Chennai
283,108,3,2104.9,1,New / Occasional,Karthik Babu 383,Flexitarian,Chennai
284,55,1,413.1,1,New / Occasional,Deepa Natarajan 384,Flexitarian,Chennai
285,33,7,3042.3,1,New / Occasional,Siddharth Mudaliar 385,Flexitarian,Chennai
286,226,1,393.3,0,At Risk / Churning,Bhavana Kumar 386,Flexitarian,Chennai
287,50,1,550.8,1,New / Occasional,Ramesh Swaminathan 387,Pure Veg,Chennai
288,80,1,314.0,1,New / Occasional,Lakshmi Babu 388,Flexitarian,Chennai
289,22,11,4502.89,1,New / Occasional,Vijay Natarajan 389,Flexitarian,Chennai
290,1,5,3048.3,1,New / Occasional,Ananya Mudaliar 390,Flexitarian,Chennai
291,100,5,3994.02,1,New / Occasional,Suresh Kumar 391,Flexitarian,Chennai
292,12,4,1655.6,1,New / Occasional,Divya Swaminathan 392,Flexitarian,Chennai
293,83,2,637.4,1,New / Occasional,Ganesh Babu 393,Flexitarian,Chennai
294,3,6,3004.1,1,New / Occasional,Meena Natarajan 394,Flexitarian,Chennai
295,286,1,459.0,0,At Risk / Churning,Rajesh Mudaliar 395,Flexitarian,Chennai
296,84,4,3779.3,1,New / Occasional,Kavitha Kumar 396,Pure Veg,Chennai
297,5,5,2304.4,1,New / Occasional,Venkatesh Swaminathan 397,Flexitarian,Chennai
298,295,2,1308.0,0,At Risk / Churning,Nandhini Babu 398,Pure Veg,Chennai
299,56,2,1030.2,1,New / Occasional,Santhosh Natarajan 399,Pure Veg,Chennai
300,283,2,1945.0,0,At Risk / Churning,Swetha Mudaliar 400,Pure Veg,Chennai
301,232,2,723.8,0,At Risk / Churning,Aravind Kumar 401,Pure Veg,Chennai
302,105,9,4586.15,1,New / Occasional,Priya Swaminathan 402,Flexitarian,Chennai
303,164,3,779.23,0,At Risk / Churning,Karthik Babu 403,Flexitarian,Chennai
304,275,1,305.15,0,At Risk / Churning,Deepa Natarajan 404,Pure Veg,Chennai
305,22,5,1913.6,1,New / Occasional,Siddharth Mudaliar 405,Flexitarian,Chennai
306,171,2,1041.7,0,At Risk / Churning,Bhavana Kumar 406,Flexitarian,Chennai
307,57,5,3520.7,1,New / Occasional,Ramesh Swaminathan 407,Flexitarian,Chennai
308,21,17,7399.25,1,New / Occasional,Lakshmi Babu 408,Flexitarian,Chennai
309,14,3,672.05,1,New / Occasional,Vijay Natarajan 409,Pure Veg,Chennai
310,253,1,400.0,0,At Risk / Churning,Ananya Mudaliar 410,Non-Veg Enthusiast,Chennai
311,45,6,2490.35,1,New / Occasional,Suresh Kumar 411,Flexitarian,Chennai
312,200,4,2390.0,0,At Risk / Churning,Divya Swaminathan 412,Pure Veg,Chennai
